shipping_id,order_id,carrier,shipping_method,warehouse_location,ship_date,delivery_date,shipping_cost,delivery_status
800001,70015001,Canada Post,Standard,Edmonton-AB,2024-01-04,2024-01-10,9.99,Delivered
800002,70015002,UPS,Expedited,Calgary-AB,2024-01-06,2024-01-09,14.99,Delivered
800003,70015003,FedEx,Standard,Vancouver-BC,2024-01-05,2024-01-12,11.99,Delivered
800004,70015004,Purolator,Express,Toronto-ON,2024-01-07,2024-01-09,19.99,Delivered
800005,70015005,DHL,Standard,Chicago-IL,2024-01-04,2024-01-13,12.99,Delivered
800006,70015006,Canada Post,Standard,Edmonton-AB,2024-01-08,2024-01-15,9.99,Delivered
800007,70015007,UPS,Expedited,Calgary-AB,2024-01-09,2024-01-12,14.99,Delivered
800008,70015008,FedEx,Standard,Vancouver-BC,2024-01-06,2024-01-14,11.99,Delivered
800009,70015009,Purolator,Express,Toronto-ON,2024-01-10,2024-01-12,19.99,Delivered
800010,70015010,DHL,Standard,Chicago-IL,2024-01-07,2024-01-16,12.99,Delivered
800011,70015011,Canada Post,Standard,Edmonton-AB,2024-01-11,2024-01-18,9.99,Delivered
800012,70015012,UPS,Expedited,Calgary-AB,2024-01-12,2024-01-15,14.99,Delivered
800013,70015013,FedEx,Standard,Vancouver-BC,2024-01-09,2024-01-17,11.99,Delivered
800014,70015014,Purolator,Express,Toronto-ON,2024-01-13,2024-01-15,19.99,Delivered
800015,70015015,DHL,Standard,Chicago-IL,2024-01-10,2024-01-19,12.99,Delivered
800016,70015016,Canada Post,Standard,Edmonton-AB,2024-01-14,2024-01-21,9.99,Delivered
800017,70015017,UPS,Expedited,Calgary-AB,2024-01-15,2024-01-18,14.99,Delivered
800018,70015018,FedEx,Standard,Vancouver-BC,2024-01-12,2024-01-20,11.99,Delivered
800019,70015019,Purolator,Express,Toronto-ON,2024-01-16,2024-01-18,19.99,Delivered
800020,70015020,DHL,Standard,Chicago-IL,2024-01-13,2024-01-22,12.99,Delivered
